twid,tweep,twtext,fav,rt,url
603111581359153152,NBCNews,"Stranded couple tried to survive on rainwater, oranges http://t.co/XFb9mYzpZC http://t.co/1QGqVvUC7Z",21,17,http://nbcnews.to/1HHx5sG
603107864803160064,NBCNews,VIDEO: Thunderstorms in Houston drop historic rainfall http://t.co/5iGynRXz4P http://t.co/9CebFgLbjF,53,123,http://nbcnews.to/1KwEADl
603104941650108416,NBCNews,#GOTscience: Reality check on gruesome twists in 'Game of Thrones' http://t.co/BeOM7TJaU1 http://t.co/Zu5bEeEuPS,25,20,http://nbcnews.to/1JSXTWc
603100855542374400,NBCNews,Man diagnosed with rare Lassa fever dies in U.S. after Liberia trip http://t.co/12aOD1oDwP http://t.co/U8gtfpCg4W,22,53,http://nbcnews.to/1FACvC1
603070998401908736,NBCNews,"At least 38 killed, 6 injured after fire decimates Chinese nursing home http://t.co/pHWWQEoid2 http://t.co/A4GGq03cbY",25,60,http://nbcnews.to/1eroSfH
603057429253922816,NBCNews,"Pope Francis: I haven't watched TV since July 15, 1990 http://t.co/Xro2cji5NB http://t.co/1QC42rjT9g",200,188,http://nbcnews.to/1Eucgcz
603025816130289664,NBCNews,Will this guy be enough to scare off the hoards of sea lions at Oregon's Port of Astoria? http://t.co/joSH8hvTZ8 http://t.co/6hSGzvOOMo,63,46,http://nbcnews.to/1KwaKyZ
603017867139936256,NBCNews,IT chief at Bangladesh Coca-Cola unit arrested as ISIS suspect http://t.co/Q69YO4hwHm http://t.co/9H7NClZNbR,52,143,http://nbcnews.to/1J15Qb3
602997589957554176,NBCNews,Cleveland reaches deal with DOJ on pattern of unjust policing: report http://t.co/YweoJ5axIS http://t.co/HdwBIE2km4,67,133,http://nbcnews.to/1BmkD9Y
602978792332754945,NBCNews,Coroner examining B.B. King's body following daughters' allegations of foul play http://t.co/xblawJs1OO http://t.co/hIDbHr1iNk,73,139,http://nbcnews.to/1eqRc1R
602968267272093696,NBCNews,Homecoming queen dies in Texas floods on way home from prom http://t.co/wO0XoxB058 http://t.co/aPMywu4L8j,123,197,http://nbcnews.to/1RiswXi
602965757819949057,NBCNews,"72,000 ladybugs released in high school senior prank http://t.co/uzDPqPxJLV http://t.co/6sg2VLzE8q",251,276,http://nbcnews.to/1Ht1plg
