twid,tweep,twtext,fav,rt,url
588072738146877440,CBSNews,"Lift-off!

Watch SpaceX Falcon rocket launch: http://t.co/gJzgwHYWzI http://t.co/SM20SCgEUM",56,59,http://cbsn.ws/1aQ2HO4
588072046703341570,CBSNews,WATCH NOW: SpaceX ready to launch Falcon 9 rocket http://t.co/Vanc5vZvL2 via @CBSNLive http://t.co/Pqmh6RdTQw,21,30,http://cbsn.ws/1JIbEFi
588069771893153792,CBSNews,WATCH LIVE: SpaceX launch to resupply International Space Station http://t.co/Wq0mkrQ8bh via @CBSNLive,8,26,http://cbsn.ws/1H4yZRZ
588064578975748099,CBSNews,NEW: Pres. Obama officially removes Cuba from @StateDept's list of state sponsors of terrorism http://t.co/pMV89DFe9M http://t.co/3guMIvymez,92,181,http://cbsn.ws/1yoGNfz
588057371458535425,CBSNews,BREAKING: White House announces decision to remove Cuba from state sponsor of terror list. - @MajorCBS,77,191,
588053713379536898,CBSNews,"Company founder tells workers they're getting raises, brings minimum salary of every employee to $70,000 http://t.co/SbTtBOEF8N",59,91,http://cbsn.ws/1b0l4jX
588047867216015362,CBSNews,"Former NFL player suspected of killing cellmate in prison, officials say http://t.co/DlpdbRFXHH - @Crimesider http://t.co/6z08MMXAne",10,34,http://cbsn.ws/1yolpau
588043797319327744,CBSNews,"Pregnancy-related diabetes may raise child's risk of developing autism, research shows http://t.co/FfNc4MvErp",13,30,http://cbsn.ws/1HoGX8X
588038158991937537,CBSNews,5 facts you may not know about Abraham Lincoln's assassination: http://t.co/6Fz8qQpjad http://t.co/0r8r1aukSm,39,70,http://cbsn.ws/1JHHIsW
588031760824463360,CBSNews,More than 200 people sick after norovirus outbreak strikes 2 cruise ships http://t.co/RvTJS9XxIb,11,44,http://cbsn.ws/1J00kTY
588027966627655680,CBSNews,Battered remains of medieval man uncovered at famous cathedral; he may have been knight http://t.co/nOlOg7gp8Y http://t.co/3GSgIdAlyD,82,89,http://cbsn.ws/1FQPDml
588023426834690049,CBSNews,President Abraham Lincoln was shot by John Wilkes Booth at Ford's Theatre 150 years ago today http://t.co/56sDgzqw8F http://t.co/1E54kZSQF6,95,313,http://cbsn.ws/1DZmPuB
588018651145621507,CBSNews,"More than 8,000 schools reopen in Sierra Leone after Ebola outbreak http://t.co/BWD5UUK8fU http://t.co/RFYcRAN7W3",31,50,http://cbsn.ws/1JH6k52
588016640941498371,CBSNews,"WATCH: Runner prematurely celebrates win with crowd, loses at the finish line http://t.co/b7TwLzbLS0 http://t.co/qS4c76yzWl",56,80,http://cbsn.ws/1OathhK
588012231259992065,CBSNews,NEW: Tulsa reserve deputy charged with fatally shooting suspect turns himself in http://t.co/XnH4yN0HQu http://t.co/gpfnTvaigx,20,76,http://cbsn.ws/1ynMTNf
588010111165161473,CBSNews,"Percy Sledge, who sang ""When a Man Loves a Woman"" hit, dies at 74 http://t.co/ny1Vam81Pr - @CBSShowbiz http://t.co/HVWUz5yPvR",69,210,http://cbsn.ws/1JHak5w
588005566062141440,CBSNews,The 10 least affordable places to rent: http://t.co/6xZiDtxDoi http://t.co/W6NlV89ywd,17,22,http://cbsn.ws/1aZoWSw
588003747789463553,CBSShowbiz,".@EverclearBand goes to ""dark places"" with new album..watch our interview with @artalexakis http://t.co/qiDgjjr0Rq http://t.co/hV6yfbvrYs",20,16,http://cbsn.ws/1PHRI9R
588000552799367168,CBSNews,World marks 1 year since #BringBackOurGirls; Nigeria doesn't know if girls can be rescued http://t.co/oyh4d3z0yu http://t.co/d3VXps9MMP,45,108,http://cbsn.ws/1JH4SzH
587996387121438720,CBSNews,Stubborn cougar refuses to leave crawl space of California home http://t.co/S3ljOTA791 http://t.co/Fq7sV7agTJ,50,42,http://cbsn.ws/1JH1R2i
587991409577328640,CBSNews,"Twin boys drown after bees attack mom, stroller falls into Arizona canal, police say http://t.co/HlzUWzdo1i http://t.co/qzrvZnxD5F",20,55,http://cbsn.ws/1OakkFc
587983731878715392,CBSNews,"Report: Officer allegedly manipulated corpse, said he ""loves playing with dead bodies"" http://t.co/CaOHnrnbH8 http://t.co/8O4NsP14N0",25,73,http://cbsn.ws/1FQsSPA
587976456170536961,CBSNews,COMING UP: Tulsa reserve deputy to turn himself in after fatally shooting man; watch at 10 a.m. ET on @CBSNLive http://t.co/GPdQVmpeqi,7,19,http://cbsn.ws/1FQnvjf
587972857046642688,CBSNews,When should you retire? Those who have already done it have advice http://t.co/AcsHJlbn97,21,26,http://cbsn.ws/1HnxD4Z
587968829713686528,CBSNews,Experts will tell you that your age doesn't affect your credit score -- at least not technically http://t.co/qhGC0tL8uR,2,15,http://cbsn.ws/1H33qrH
587964556019904514,CBSNews,4 big tests facing the Republican-led Senate - http://t.co/WHgHfNJUYo http://t.co/MuoQwGkjrd,8,29,http://cbsn.ws/1FQ6QfN
587961780250480640,CBSNews,Photos: @Crimesider's take on some cold-case murders and wild unsolved mysteries - http://t.co/7i8UiHlLrT http://t.co/659JPpkf35,32,43,http://cbsn.ws/1JGBOIp
587958781264470016,CBSNews,A look at medical conditions detected with a simple breath test - http://t.co/ppzpbarHvu http://t.co/jqLXLQEmDw,33,36,http://cbsn.ws/1IZwije
587954979899625472,CBSNews,"1 year on, Nigeria admits the 219 kidnapped Chibok schoolgirls may be lost - http://t.co/GMdb3IXLxP http://t.co/PScMsXVW2N",32,112,http://cbsn.ws/1PHgLdh
587951719285391360,CBSNews,"At the IRS, no catastrophes, but a ""crisis in service"" -- ""There have been some glitches"" - http://t.co/qKRvt1nsv5",9,15,http://cbsn.ws/1H326Ff
587947748890189824,CBSNews,Surprise cargo on Alaska Airlines flight; Hillary in Iowa; and more in This Morning from CBS News - http://t.co/IIAom1pMUf,15,9,http://cbsn.ws/1FQ4uxx
587941270183669760,CBSThisMorning,Your world in 90 seconds. Watch this morning's Eye Opener: http://t.co/7v1BBuDlSS #newsisback,10,16,http://cbsn.ws/1JGoHXU
587903148888612864,CBSNews,If a woman gets put on $20 bill — it won't be 1st time U.S. currency has gotten a makeover http://t.co/EE3PZlP4HL,15,23,http://cbsn.ws/1FPfZ8f
587893792033890304,CBSNews,"A Bakersfield, Calif. police officer is being probed for allegedly manipulating the corpse of a man shot by cops http://t.co/9RV8TvQXTd",20,33,http://cbsn.ws/1aZ2lVX
587888039642423296,CBSNews,"Parents who practice ""free-range"" parenting to build independence under fire — for 3rd time http://t.co/VKLjXtHwle",12,14,http://cbsn.ws/1IYQVMA
587872943469920257,CBSNews,New study helps explain why stroke survivors can't perceive sarcasm http://t.co/TYjCl6vmyn,17,28,http://cbsn.ws/1IYQYrF
