dt,title,href,newstxt
2015-03-05 16:23:00,Emotional testimony in Boston Marathon terror trial - CNN Video,http://www.cnn.com/videos/tv/2015/03/05/lead-pkg-feyerick-boston-marathon-bomber-trial.cnn,Survivor describes seeing bomber in the crowd. CNN's Deborah Feyerick reports. 
2015-03-05 13:23:00,CNN Creative Marketing: Miles O'Brien: A Life Lost and Found - CNN Video,http://www.cnn.com/videos/tv/2015/03/05/exp-cnn-creative-marketing-miles-obrien-a-life-lost-and-found.cnn,"CNN's Miles O'Brien shares with Dr. Gupta, his personal story of shock and determination. CNN Special Report: Miles O'Brien: A Life Lost and Found. Tuesday, March 10th at 9."
2015-02-25 16:18:00,Opinion: What the United States can learn from Iceland - CNN Video,http://www.cnn.com/videos/opinions/2015/02/25/change-the-list-poverty-iceland-sutter-orig-ba.cnn,CNN's John D. Sutter visits one of the poorest schools in Iceland to find out what the country is doing to alleviate childhood poverty.
2015-02-19 18:54:00,Doctors warn of deadly superbug outbreak - CNN Video,http://www.cnn.com/videos/us/2015/02/19/erin-dnt-lah-ucla-superbug.cnn,"A new strain of superbug is so resistant to antibiotics it's being called the ""nightmare bacteria."" And it's most frequently spread in the hospital.                 "
2015-02-25 16:42:00,Is this 280-pound catfish real? Fisherman provides proof - CNN Video,http://www.cnn.com/videos/us/2015/02/25/erin-pkg-moos-giant-280-pound-catfish.cnn,Holy catfish! It's 280 pounds of UGLY! CNN's Jeanne Moos takes the bait on this monster fish story.
2015-02-26 18:23:00,Amy Schumer's epic response to fat shaming - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/26/amy-schumer-fat-shaming-hollywood-lisas-desk-orig-mg.cnn,"In this week's Lisa's Desk episode, Lisa talks about a recent incident involving ""Trainwreck"" actress Amy Schumer, who is a size 6."
2015-02-27 16:44:00,Have U.S.-Israel relations ever been this bad? Yes. - CNN Video,http://www.cnn.com/videos/politics/2015/02/27/22715-us-israel-relations-jm-wxdc.cnn,"The current disconnect between the U.S. and Israel seems bad, but Wolf Blitzer recalls a time when things between Israel and a Republican president were worse."
2015-01-23 16:18:00,Power shifts in Middle East after death of Saudi King  - CNN Video,http://www.cnn.com/videos/world/2015/01/23/lead-live-foreman-changes-in-the-middle-east.cnn,CNN's Tom Foreman looks into the changing Arab world after the death of King Abdullah bin Abdulaziz. 
2015-03-04 16:27:00,"DOJ meeting with Brown family, protest leaders - CNN Video",http://www.cnn.com/videos/tv/2015/03/04/lead-sidner-ferguson-city-doj-charges.cnn,"Michael Brown's family calls the DOJ report ""disappointing."" CNN's Sara Sidner reports. "
2015-01-24 10:05:00,Maher: 'American Sniper' is 'psychopath patriot' - CNN Video,http://www.cnn.com/videos/us/2015/01/24/pkg-orig-maher-american-sniper-psychopath-patriot-chris-kyle.cnn,"Bill Maher criticized the movie ""American Sniper"" and deceased Navy Seal Chris Kyle calling him a ""psychopath patriot."""
