dt,outlet,sp
2015-02-06,ABC,0.14587467935118353
2015-02-07,ABC,0.10508676638958334
2015-02-08,ABC,0.13033707152179985
2015-02-09,ABC,0.16191103290464587
2015-03-01,ABC,0.1023106181975563
2015-03-10,ABC,0.145891865556101
2015-03-11,ABC,0.10884614290056205
2015-03-12,ABC,0.13014446171206456
2015-03-13,ABC,0.11822466473019229
2015-03-14,ABC,0.0934260957994269
2015-03-15,ABC,0.11533855534651613
2015-03-16,ABC,0.13750226348348477
2015-03-17,ABC,0.13417943603340496
2015-03-18,ABC,0.1370157800132051
2015-03-19,ABC,0.13149216227106955
2015-03-02,ABC,0.1508101644412864
2015-03-20,ABC,0.1537909111517392
2015-03-21,ABC,0.11490772598048715
2015-03-22,ABC,0.11816959201480352
2015-03-23,ABC,0.14237627493112442
2015-03-24,ABC,0.16964772079707197
2015-03-25,ABC,0.14612116515349197
2015-03-26,ABC,0.13433275778204978
2015-03-27,ABC,0.13930964820647473
2015-03-28,ABC,0.11973890477514347
2015-03-29,ABC,0.1216319715882817
2015-03-03,ABC,0.12663007655083167
2015-03-30,ABC,0.1285194202926168
2015-03-31,ABC,0.13328511556036832
2015-03-04,ABC,0.14971011768536704
2015-03-05,ABC,0.12755669875532805
2015-03-06,ABC,0.14815598321954526
2015-03-07,ABC,0.10918052159195754
2015-03-08,ABC,0.1134308806803656
2015-03-09,ABC,0.1653352051336537
2015-04-01,ABC,0.1626364469166531
2015-04-02,ABC,0.1475066198669841
2015-04-03,ABC,0.147407784499103
2015-04-04,ABC,0.11964184809570783
2015-04-12,NBCNews,0.17786694699869318
2015-04-19,NBCNews,0.16994157567843177
2015-04-26,NBCNews,0.1586509260722883
2015-05-03,NBCNews,0.18223010380958385
2015-05-10,NBCNews,0.16076332837384227
2015-05-17,NBCNews,0.16656318791758146
2015-05-24,NBCNews,0.16305311153095547
2015-05-31,NBCNews,0.1662434382148461
2015-06-07,NBCNews,0.18907353841151822
2015-03-10,WPOST,0.08299967901466616
2015-03-11,WPOST,0.09549183164203755
2015-03-12,WPOST,0.09215619864207514
2015-03-13,WPOST,0.08163383807697902
2015-03-14,WPOST,0.09112259808206485
2015-03-15,WPOST,0.09454907639054956
0001-255-255,WPOST,0.09016886672001313
2015-03-17,WPOST,0.07766695002429008
2015-03-18,WPOST,0.09240531099421509
2015-03-19,WPOST,0.09634290278728339
2015-03-20,WPOST,0.08072708027842837
2015-03-21,WPOST,0.08564961467595775
2015-03-22,WPOST,0.0877454132241294
2015-03-23,WPOST,0.08170912005672189
2015-03-24,WPOST,0.08399705697494915
2015-03-25,WPOST,0.0707824057250088
2015-03-26,WPOST,0.09529321933327933
2015-03-27,WPOST,0.08694992126448389
2015-03-28,WPOST,0.09032649030630259
2015-03-29,WPOST,0.08524677711852918
2015-03-03,WPOST,0.08058922282921491
2015-03-30,WPOST,0.07974995839215163
2015-03-31,WPOST,0.07576748115011671
2015-03-04,WPOST,0.08936173841337973
2015-03-05,WPOST,0.08824750952456299
2015-03-06,WPOST,0.07932398538006157
2015-03-07,WPOST,0.08939889323070609
2015-03-08,WPOST,0.087195855500703
2015-03-09,WPOST,0.08316098210394732
2015-04-01,WPOST,0.08485372136486719
2015-04-02,WPOST,0.09095937311895164
2015-04-03,WPOST,0.07327292418686476
2015-04-04,WPOST,0.08422313783915736
2015-04-11,CBSNews,0.10326252536436666
2015-04-12,CBSNews,0.1216315414173838
2015-04-13,CBSNews,0.1416375369840882
2015-04-14,CBSNews,0.15101413817610537
2015-04-15,CBSNews,0.11506540061661528
2015-04-16,CBSNews,0.13980069112860408
2015-04-17,CBSNews,0.16505996034359205
2015-04-18,CBSNews,0.14626672515210404
2015-04-19,CBSNews,0.13640869037722103
2015-04-20,CBSNews,0.17815878026566995
2015-04-21,CBSNews,0.16841689107993352
2015-04-22,CBSNews,0.14430200583804628
2015-04-23,CBSNews,0.11683978198491504
2015-04-24,CBSNews,0.13020919694461164
2015-04-25,CBSNews,0.10314095705922574
2015-04-26,CBSNews,0.09085518706711537
2015-04-27,CBSNews,0.11278575329971478
2015-04-28,CBSNews,0.13091920884909497
2015-04-29,CBSNews,0.13880238019725627
2015-04-30,CBSNews,0.1307361678694602
2015-05-01,CBSNews,0.11948111732028398
2015-05-10,CBSNews,0.11878372881087115
2015-05-11,CBSNews,0.12356246997134272
2015-05-12,CBSNews,0.11867762901774956
2015-05-13,CBSNews,0.10841245632499688
2015-05-14,CBSNews,0.13149024393934886
2015-05-15,CBSNews,0.13938568719909747
2015-05-16,CBSNews,0.11365342379208568
2015-05-17,CBSNews,0.10402749911717744
2015-05-18,CBSNews,0.1135467668521949
2015-05-19,CBSNews,0.13344873157923723
2015-05-02,CBSNews,0.12962954821671338
2015-05-20,CBSNews,0.15656131018004119
2015-05-21,CBSNews,0.13690121983923534
2015-05-22,CBSNews,0.13094458952680338
2015-05-23,CBSNews,0.13264217471257114
2015-05-24,CBSNews,0.13483086415791998
2015-05-25,CBSNews,0.11326793393625066
2015-05-26,CBSNews,0.12479775026893833
2015-05-27,CBSNews,0.12513248444135786
2015-05-28,CBSNews,0.1200633909949694
2015-05-29,CBSNews,0.16305338845137865
2015-05-03,CBSNews,0.12814791114570706
2015-05-30,CBSNews,0.101523856687278
2015-05-31,CBSNews,0.14423128923230916
2015-05-04,CBSNews,0.1439249943638888
2015-05-05,CBSNews,0.14707736500646879
2015-05-06,CBSNews,0.1233555074034898
2015-05-07,CBSNews,0.13304730998128514
2015-05-08,CBSNews,0.12042699013948967
2015-05-09,CBSNews,0.11616967958236711
2015-06-01,CBSNews,0.1096729566627522
2015-06-02,CBSNews,0.13831742729907603
2015-06-03,CBSNews,0.13698960156379159
2015-06-04,CBSNews,0.1490575173521099
2015-06-05,CBSNews,0.14131520533864203
2015-06-06,CBSNews,0.10832576135425136
2015-06-07,CBSNews,0.11962880168986077
2015-06-08,CBSNews,0.1241325901757672
2015-01-27,FoxNews,0.13413379914432455
2015-02-16,FoxNews,0.07965673356189325
2015-02-17,FoxNews,0.07919258699281782
2015-02-18,FoxNews,0.06763836765531782
2015-02-19,FoxNews,0.08429705160657233
2015-02-20,FoxNews,0.09804791803419857
2015-02-21,FoxNews,0.10133775286817102
2015-02-22,FoxNews,0.10992817164080966
2015-02-23,FoxNews,0.08307188222157996
2015-02-24,FoxNews,0.08524665750181343
2015-02-25,FoxNews,0.07971276629837486
2015-02-26,FoxNews,0.1057721690092485
2015-02-27,FoxNews,0.10629482993066676
2015-02-28,FoxNews,0.08331556340484908
2015-03-01,FoxNews,0.11636583577531286
2015-03-10,FoxNews,0.08724166573135013
2015-03-11,FoxNews,0.08379891888838391
2015-03-12,FoxNews,0.06953372637867768
2015-03-13,FoxNews,0.09041346466159039
2015-03-14,FoxNews,0.05963573337600578
2015-03-15,FoxNews,0.06728764868903628
2015-03-16,FoxNews,0.07137834542168435
2015-03-17,FoxNews,0.10422975903327415
2015-03-18,FoxNews,0.0953774971491626
2015-03-19,FoxNews,0.09015607663831149
2015-03-02,FoxNews,0.07760149662910858
2015-03-20,FoxNews,0.09855346019708083
2015-03-21,FoxNews,0.09833852655281221
2015-03-22,FoxNews,0.10667537029136262
2015-03-23,FoxNews,0.10778981775305255
2015-03-24,FoxNews,0.10557778942308549
2015-03-25,FoxNews,0.0960774608893144
2015-03-26,FoxNews,0.08033697108152663
2015-03-27,FoxNews,0.08928696103236232
2015-03-28,FoxNews,0.09259927695870755
2015-03-29,FoxNews,0.09613949745508622
2015-03-03,FoxNews,0.1015601305318548
2015-03-30,FoxNews,0.09377709209878231
2015-03-31,FoxNews,0.08357899701308727
2015-03-04,FoxNews,0.08466425593548697
2015-03-05,FoxNews,0.11551396991904303
2015-03-06,FoxNews,0.09734299142662603
2015-03-07,FoxNews,0.08370787991158364
2015-03-08,FoxNews,0.08505250627952622
2015-03-09,FoxNews,0.09157130873848562
2015-04-01,FoxNews,0.09078439268881722
2015-04-02,FoxNews,0.10660292622862855
2015-04-03,FoxNews,0.09971487233616831
2015-04-04,FoxNews,0.05973243173926769
2015-02-01,CNN,0.11816876363731331
