src,filename,href,title
cnn,18FSHWT,http://money.cnn.com/2015/01/27/media/nfl-super-bowl-ad-domestic-violence/index.html,"NFL's domestic violence Super Bowl spot: 'It's up to us to listen' - Jan. 27, 2015 "
cnn,18FSoeK,http://money.cnn.com/gallery/media/2015/01/16/super-bowl-ads/index.html,T-Mobile - Super Bowl 2015 ads: Chelsea Handler and Sarah Silverman phone it in - CNNMoney
cnn,18FStPy,http://money.cnn.com/2015/01/30/technology/super-bowl-2015-fans/index.html,"Seahawks v. Patriots: How do the fans measure up? - Jan. 30, 2015 "
cnn,18FT1Fa,http://money.cnn.com/2015/01/30/media/super-bowl-ratings-predictions/index.html,"Will the Super Bowl get record ratings? - Jan. 30, 2015 "
cnn,18FT1Fa,http://money.cnn.com/2015/01/30/media/super-bowl-ratings-predictions/index.html,"Will the Super Bowl get record ratings? - Jan. 30, 2015 "
cnn,18FT8Rd,http://money.cnn.com/2015/01/30/media/brady-bunch-super-bowl/index.html,"It's a Brady Bunch Super Bowl - Jan. 30, 2015 "
cnn,18FTPtN,http://www.cnn.com/2015/02/01/politics/obama-super-bowl-interview-2015/index.html,"President Obama on Hillary or Joe -- ""I love them both""  - CNN.com"
cnn,18fVaYb,http://money.cnn.com/2015/02/23/news/companies/target-free-shipping/index.html,"Target cuts free shipping minimum to $25 - Feb. 23, 2015 "
cnn,18hkhtQ,http://www.cnn.com/2015/02/24/us/holly-bobo-case-suicide/index.html,Man granted immunity in Holly Bobo case commits suicide - CNN.com
cnn,18hv8DT,http://www.cnn.com/2015/02/24/us/california-train-wreck/index.html,Train technology prevented tragedy in California - CNN.com
cnn,18hx7Hs,http://www.cnn.com/videos/living/2015/03/02/mentos-diet-coke-viral-video-5-things-orig-nws.cnn,A bubble bath ... with Mentos and Coke Zero? - CNN Video
cnn,18hxX75,http://www.cnn.com/videos/us/2015/03/02/erin-dnt-lah-lapd-shooting-new-video.cnn,New video shows LAPD shooting of unarmed man  - CNN Video
cnn,18i08ml,http://www.cnn.com/2015/03/02/politics/netanyahu-speech-iran-obama-congress/index.html,Kerry warns Netanyahu ahead of Congress speech - CNN.com
cnn,18i3HJX,http://www.cnn.com/2015/01/25/us/weather-storm/index.html,Monster snowstorm expected to slam into the Northeast - CNN.com
cnn,18i74jm,http://www.cnn.com/2015/03/03/world/us-iran-common-interests/index.html,U.S. and Iran find common interests in unlikely places - CNN.com
cnn,18IG3q9,http://www.cnn.com/2015/02/02/entertainment/suge-knight-hit-and-run/index.html,Ex-rap mogul Suge Knight charged with murder - CNN.com
cnn,18imCUl,http://money.cnn.com/2015/03/03/autos/dodge-dealers/index.html,"Dodge warns that its own dealers are scamming customers - Mar. 3, 2015 "
cnn,18IP2rD,http://www.cnn.com/2015/03/02/living/feat-skydiving-seizure/index.html,"Man has seizure while skydiving, saved by instructor - CNN.com"
cnn,18JNf5q,http://edition.cnn.com/videos/world/2015/02/02/wrn-viewer-questions-stephen-fry-intv.cnn,Stephen Fry: The proudest moment of my life... - CNN Video
cnn,18JXXc4,http://www.cnn.com/2015/02/02/entertainment/whitney-houston-daughter-hospitalized/index.html,Whitney Houston's daughter 'fighting for her life' - CNN.com
cnn,18km6Wy,http://www.cnn.com/2015/01/26/us/weather-storm/index.html,Monster snowstorm expected to slam into the Northeast - CNN.com
cnn,18kqv53,http://www.cnn.com,"Breaking News, U.S., World, Weather, Entertainment & Video News - CNN.com"
cnn,18kqv53,http://www.cnn.com,"Breaking News, U.S., World, Weather, Entertainment & Video News - CNN.com"
cnn,18KycIH,http://ireport.cnn.com/topics/1212513,Your message to parents who don’t vaccinate: News & Videos about Your message to parents who don’t vaccinate - CNN iReport
cnn,18lA8XP,http://www.cnn.com/2015/01/25/opinion/drexler-paris-fashion-shock/index.html,Nudity doesn't shock us anymore - CNN.com
cnn,18Lf1yt,http://www.cnn.com/2015/02/03/us/massachusetts-aaron-hernandez-trial/index.html,Juror dismissed in Aaron Hernandez murder trial - CNN.com
cnn,18lOlo3,http://www.cnn.com/2015/02/19/living/bible-not-jesus/index.html,"Actually, that's not in the Bible  - CNN.com"
cnn,18mqofW,https://twitter.com/outfrontcnn/status/559882920425299968,"OutFrontCNN on Twitter: ""#Blizzardof2015: Stocks that get a boost when blizzards hit: http://t.co/VSjZNQkbyg"""
cnn,18mrbOc,http://www.cnn.com/2015/02/24/opinion/parini-american-exceptionalism/index.html,Does American exceptionalism make us dumb? (Opinion) - CNN.com
cnn,18oZLX5,http://www.cnn.com/2015/03/06/africa/american-missionary-freed-in-nigeria/index.html,Kidnapped American missionary freed in Nigeria - CNN.com
cnn,18pkv0U,http://www.cnn.com/2015/03/07/us/vice-president-walter-mondale-sick/index.html,Former VP Walter Mondale released from hospital - CNN.com
cnn,18po604,http://ireport.cnn.com/topics/1219910,Your favorite island: News & Videos about Your favorite island - CNN iReport
cnn,18pRLpQ,http://www.cnn.com/2015/02/26/politics/democrats-missing-netanyahu-whip-list/index.html,The list of Democrats skipping Netanyahu's speech - CNN.com
cnn,18rEUDq,http://www.cnn.com/2015/02/26/us/arizona-llamas-escape/index.html,Llamas on the loose: Arizona chase trends on Twitter - CNN.com
cnn,18RQV5u,http://www.cnn.com/videos/us/2015/03/04/newday-sot-curt-schilling-tracks-cyberbullies.cnn,Former MLB'er tracks down daughter's cyberbullies - CNN Video
cnn,18tA8VZ,https://twitter.com/newday/status/560398738720428032,"New Day on Twitter: ""Breaking: @willripleyCNN reports that a deal may be in the works to free Jordanian #ISIS hostage. http://t.co/eO6cQexvq1"""
cnn,18u84SA,http://www.cnn.com/2015/02/27/us/missouri-deaths/index.html,"Missouri shootings: 7 killed; suspect dead, police say - CNN.com"
cnn,18UmQlE,http://money.cnn.com/2015/03/05/news/ringling-bros-circus-elephants/index.html,"Ringling Bros. to phase out elephants from circus shows - Mar. 5, 2015 "
cnn,18uPF8e,http://www.cnn.com/2015/02/27/entertainment/feat-obit-leonard-nimoy-spock/index.html,"Leonard Nimoy, 'Star Trek's' Spock, dead at 83 - CNN.com"
cnn,18VLWQQ,http://www.cnn.com/2015/02/06/middleeast/isis-hostage-kayla-mueller/index.html,American held by ISIS moved by suffering of Syrians - CNN.com
cnn,18VsGTO,http://www.cnn.com/2015/03/05/politics/ferguson-report-hands-up-michael-brown-darren-wilson/index.html,Ferguson report: No evidence Michael Brown had hands up - CNN.com
cnn,18VZhZv,https://twitter.com/outfrontcnn/status/563872284448808960,"OutFrontCNN on Twitter: ""Who benefits from jury visit to Aaron Hernandez home and crime scene? @CNN Legal Analyst @PaulCallan has the answer http://t.co/bCKzL4iQYS"""
cnn,18w7ZgT,http://www.cnn.com/2015/01/28/us/south-carolina-friendship-nine-sit-in-convictions-vacated/index.html,S.C. judge tosses sit-in convictions for Friendship 9 - CNN.com
cnn,18WtKqg,http://edition.cnn.com/videos/tv/2015/02/06/pkg-free-diving-gravity.cnn,Amazing free diving video in the waters of French Polynesia - CNN Video
cnn,18wvqGa,http://www.cnn.com/2015/03/09/us/madison-ferguson-differences/index.html,Madison law enforcement doesn't want another Ferguson - CNN.com
cnn,18xMYBU,http://money.cnn.com/2015/03/10/technology/diy-pen-sensor-tattoos/index.html,"These temporary tattoos measure glucose - Mar. 10, 2015 "
cnn,18Xrijy,https://www.pinterest.com/Cnn/the-wonder-list-with-bill-weir-sundays-10p-etpt/,"The Wonder List with Bill Weir Sundays 10P ET/PT on Pinterest | 30 Pins on active volcano, galapagos and galapagos islands"
cnn,18yNb7S,http://www.cnn.com/2015/03/10/middleeast/isis-video-israeli-killed/index.html,ISIS video claims to show child killing Palestinian man - CNN.com
cnn,18yOaoH,http://www.cnn.com/2015/03/10/politics/hillary-clinton-email-scandal-press-conference/index.html,Hillary Clinton email scandal does damage control - CNN.com
cnn,18yWRzZ,http://www.cnn.com/shows/inside-man,Morgan Spurlock Inside Man - CNN.com
cnn,18YYBTw,http://www.cnn.com/2015/03/07/africa/mali-bar-shooting/index.html,5 killed in shooting at bar in Mali  - CNN.com
